Studio Name,Website URL
"Bizadmark LLC","https://www.bizadmark.com/"
"Black & Black","https://blackandblackcreative.com/"
"Black Frame","https://framenoir.com/"
"Blenderbox","https://www.blenderbox.com/"
"Blind Pig","http://www.blindpig.tv/"
"Blonde And Co","https://www.blondeandco.com/"
"Bluecadet","https://www.bluecadet.com/"
"Blue State Digital","https://www.bluestate.co/"
"Blurr Bureau","https://blurrbureau.com/"
"Bond","https://www.thisisbond.com/"
"Born","https://www.borngroup.com/"
"Brand Bureau","https://www.brandbureau.com/"
"Brand New School","http://www.brandnewschool.com/"
"BrandTuitive","https://www.brandtuitive.com/"
"Brooklyn Brothers","http://thebrooklynbrothers.com/"
"Brooklyn Digital Foundry","https://brooklynfoundry.com/"
"Buck","https://buck.co/"
"Buero","http://www.buero-newyork.com/"
"C & G Partners","https://www.cgpartnersllc.com/"
"Cake & Arrow","https://cakeandarrow.com/"
"Campfire","http://www.campfirenyc.com/"
"Canvas United","https://www.canvasunited.com/"
"Caravan","http://www.crvn.net/"
"Case Agency","https://www.caseagency.com/"
"Catch","http://www.catch-nyc.com/"
"Center","https://center.design/"
"Champions Design","https://www.championsdesign.com/"
"Chandelier Creative","http://www.chandeliercreative.com/"
"Charlex","https://www.chrlx.com/"
"Chermayeff & Geismar & Haviv","http://cghnyc.com/"
"Chips","https://chips.nyc/"
"Clark McDowall","https://clarkmcdowall.com/"
"Clean Laundry","https://cleanlaundrynyc.com/?utm_source=publicide"
"Cloud Red","http://www.cloudred.com/"
"CMYK","https://wearecmyk.com/"
"Coa","http://www.coadesign.org/"
"Code and Theory","http://www.codeandtheory.com/"
"CoenFilm","https://www.coenfilm.com/"
"Cold Cuts","https://www.coldcuts.co/"
"Collins","https://wearecollins.com/"
"Common Name","http://common-name.com/"
"Company Policy","https://companypolicy.studio/"
"Convicts","https://convicts.nyc/"
"Concept Farm","http://conceptfarm.com/"
"Cornerstone","http://www.cornerstonebranding.com/"
"Corse","http://corse.nyc/"
"Craft And Root","https://craftandroot.com/"
"Critical Mass","https://www.criticalmass.com/"
"Crown Creative","https://crowncreative.com/studio/"
"Crush + Lovely","http://www.crushlovely.com/"
"D/T/E","https://dtestudio.com/"
"Dandelion","http://www.dandeliondandelion.com/"
"Datalands","https://datalands.co/"
"Day One Agency","https://d1a.com/"
"DDB","https://tbwa.com/"
"Decade","https://decadenewyork.com/"
"Decker Design","http://www.deckerdesign.com/"
"Design Bridge","https://www.designbridge.com/"
"Design MW","http://www.designmw.com/"
"Design Ojo","http://designojo.com/"
"Dia","http://dia.tv/"
"Digital Pulp","http://www.digitalpulp.com/"
"Digitas","https://www.digitas.com/en-us"
"Dinner Party","https://www.dinnerparty.team/"
"Do Things","https://www.dothingsnyc.com/"
"Doubleday and Cartwright","http://doubledayandcartwright.com/"
"Doyle Partners","http://www.doylepartners.com/"
"Dress Code","http://www.dresscodeny.com/"
"Droga 5","https://droga5.com/"
"Eight Inc","http://eightinc.com/"
"Eight and 1/2","http://www.8point5.com/"
"El Triunfo","https://studio.sl/"
"Elephant","http://www.elephant.is/"
"Elmwood","https://www.elmwood.com/"
"Epoch Films","http://epochfilms.com/"
"Established","http://establishednyc.com/"
"Everything Studio","http://www.everythingstudio.com/"
"Evidence Design","http://www.evidencedesign.com/"
"Exposure","http://www.exposure.net/"
"Fallon","http://www.fallon.com/"
"Faire","http://www.faireprojects.com/"
"Fantasy","http://fantasy.co/"
"Favorite Color","http://www.favoritecolor.tv/"
"FCB","https://www.omc.com/"
"Fearless Company","http://fearlesscompany.com/"
"Feral","https://feralnyc.com/"
"Fictive Kin","https://fictivekin.com/"
"Fjord","https://www.accenture.com/us-en/about/accenture-song-index"
"For Office Use Only","http://www.forofficeuseonly.com/"
"Force Majeure","http://www.forcemajeure.design/"
"Frame Store","http://framestore.com/"
"Franklyn","http://quitefranklyn.com/"
"Fred & Farid","https://fredfarid.com/"
"Free Association","https://www.freeassociation.com/"
"Frog Design","https://www.frog.co/"
"Fueled","http://fueled.com/"
"FUNERAL","https://funeral.studio/"
"Future Brand","http://www.futurebrand.com/"
"Futura Collective","https://futuracollective.com/"
"Gander","https://www.takeagander.com/"
"Gardener","https://www.gardener.nyc/"
"Generation","http://generation.is/"
"Ghost Robot","https://ghostrobot.com/"
"Giant Spoon","http://www.giantspoon.com/"
"Goodby Silverstein","https://goodbysilverstein.com/"
"Good Company","http://www.goodco.tv/"
"Graj + Gustavsen","http://www.ggny.com/"
"Grand Army","http://grand-army.com/"
"Greater Than One","http://www.greaterthanone.com/"
"Greencard","http://www.greencardnewyork.com/"
"Gretel","http://www.gretelny.com/"
"Grey","http://www.grey.com/"
"Harley & Company","http://harleyandcompany.com/"
"Hello Scholar","https://www.helloscholar.com/"
"Hello Monday","https://www.hellomonday.com/"
"Hero Digital","https://www.hugeinc.com/"
"High Tide","http://hightidenyc.com/"
"Hill Holliday","http://www.hhcc.com/"
"Hinterland","http://www.hinterlandstudio.com/"
"Hoffman Creative","https://www.hoffmancreative.com/"
"Hubert And Fischer","https://hfs-studio.com/"
"Hudson Rouge","http://www.hudsonrouge.com/"
"Huge","http://www.hugeinc.com/"
"Hugo And Marie","https://www.hugoandmarie.com/"
"Humbleteam","https://www.humbleteam.com/"
"Hunter Gatherer","http://www.huntergatherer.net/"
"Hush","http://www.heyhush.com/"
"Huemor","https://huemor.rocks/"
"Hungry","https://hungrystudio.nyc/"
"Hyperakt","http://www.hyperakt.com/"
"I Crossing","http://www.icrossing.com/"
"IFUEL","http://www.ifuelinteractive.com/"
"IDEO","http://www.ideo.com/"
"Imaginary Forces","http://www.imaginaryforces.com/"
"Instinto Films","http://instintofilms.com/"
"Interbrand","http://www.interbrand.com/"
"Invisible North","http://www.invisiblenorth.com/"
"Iridium Group","https://iridiumgroup.com/"
"Javas Lehn Studio","http://javaslehnstudio.com/"
"Brill Brill Studio","https://brillbrillstudio.com/"
"Johannes Leonardo","http://www.johannesleonardo.com/"
"Joan","https://www.joancreative.com/"
"Forsman & Bodenfors","https://www.forsman.com/"
"KCD","http://www.kcdworldwide.com/"
"Kettle","https://wearekettle.com/"
"Kind Company","http://www.kindcompany.com/"
"King and Partners","http://www.kingandpartners.com/"
"Kiss Me Im Polish","http://www.kissmeimpolish.com/"
"Kneeon","http://www.kneeon.tv/"
"Kounterattack","http://www.kounterattack.com/"
"Kraftworks","https://www.kraftworksnyc.com/"
"L & L","https://landl.us/"
"Landor","http://www.landor.com/"
"Language Dept.","http://www.languagedept.com/"
"Laundry Service","http://247laundryservice.com/"
"Le Beau","https://lebeau.nyc/"
"Lemonade","http://lemonade.nyc/"
"Leroy and Clarkson","http://www.leroyandclarkson.com/"
"Level Group","https://www.levelnyc.com/"
"Li Inc","http://www.liinc.com/"
"Lippincott","https://lippincott.com/"
"Little Fury","http://littlefury.com/"
"Lloyd and Co.","http://www.lloydandco.com/"
"LMNOP","https://lmnopcreative.com/"
"Local Projects","https://localprojects.com/"
"Lonely Leap","https://lonelyleap.com/"
"Louise Fili","http://www.louisefili.com/"
"Love and War","http://www.loveandwar.com/"
"Loyal Kaspar","http://www.loyalkaspar.com/"
"Ma'am","https://www.maamcreative.com/"
"MADE THOUGHT","https://www.madethought.com/"
"Maiarelli Studio","https://maiarellistudio.com/"
"Major Tom","https://www.majortom.com/"
"Mammoth","https://mammothnyc.com/"
"Matsumoto Inc","http://www.matsumotoinc.com/"
"Matte","https://matteprojects.com/"
"Maui","http://maui.nyc/"
"McCann NY","http://www.mccannny.com/"
"McKinney","https://mckinney.com/"
"MCD Partners","https://www.mcdpartners.com/"
"Media Monks","https://www.monks.com/"
"Mekanism","https://mekanism.com/"
"Memo","http://www.memo-ny.com/"
"Method","http://www.method.com/"
"Mgmt Design","http://www.mgmtdesign.com/"
"Milkshake","https://milkshake.studio/"
"Milk Agency","https://milkagency.com/"
"Miloby","http://miloby.com/"
"MKG","https://www.thisismkg.com/"
"m ss ng p eces","http://mssngpeces.com/"
"Mixtape Club","http://www.mixtapeclub.com/"
"MJZ","http://www.mjz.com/"
"MKTG","http://mktg.com/"
"MODCo","http://www.modcomedia.com/"
"Mod Op","https://www.modop.com/"
"Molly","https://www.molly.studio/"
"Moma Design Studio","https://momadesign.cargo.site/"
"Mother","http://www.mothernewyork.com/"
"Mother Design","http://motherdesign.com/"
"MP Creative","https://www.mpcreative.net/"
"MRY","https://wearefka.com/"
"MSLK","https://mslk.com/"
"Mythology","https://www.mythology.com/"
"Mucca Design","https://www.mucca.com/"
"Mullen","https://www.omc.com/"
"Mustache","https://www.djeholdings.com/mustache"
"Nathan Love","http://www.nathanlove.com/"
"New Studio","https://newstudio.studio/"
"Nice","http://www.niceltd.com/"
"Nice Shoes","http://www.niceshoes.com/"
"Night Agency","http://www.nightagency.com/"
"No Filter","https://nofiltercreative.com/"
"North Street Creative","https://northstreetcreative.com/"
"Noë Associates","https://noeassociates.com/"
"Nothing Something","http://www.nothingsomething.com/"
"NR2154","http://www.nr2154.com/"
"O Group","http://www.ogroup.net/"
"Office of Development & Design","https://odd.tv/"
"Oak","http://oak.is/"
"Office For Visual Affairs","https://officeforvisualaffairs.com/"
"Off White Co","http://offwhitedesign.com/"
"Ogilvy","http://www.ogilvy.com/"
"ON Design","http://www.ond.com/"
"Once Future","https://once-future.com/"
"Open","http://www.notclosed.com/"
"Orange You Glad","http://www.orangeyouglad.com/"
"Order","https://order.design/"
"Out of Office","http://ooo-la.la/"
"Other Means","http://www.othermeans.us/"
"Pandiscio Green","https://pandiscio.green/"
"Paperwhite Studio","http://www.paperwhite-studio.com/"
"Partner Studio","https://partnerstudio.co/"
"Passion Pictures","http://www.passion-pictures.com/"
"Pearl Fisher","http://www.pearlfisher.com/"
"Pentagram","http://www.pentagram.com/"
"Permalight","http://permalightnyc.com/"
"Phase 2","https://phase2.io/"
"People Ideas & Culture","http://www.pic-nyc.com/"
"Piscatello Design Center","http://www.piscatello.com/"
"PLACEHOLDER","https://www.placeholder.nyc/"
"Porto Rocha","https://portorocha.com/"
"Potion","https://www.hyperquake.com/potion-merger"
"Prime Studio","http://www.primestudio.com/"
"PS","https://psnewyork.com/"
"PSYOP","https://www.psyop.com/"
"Pulp, Ink","http://pulp-ink.com/"
"Pure + Applied","https://pureandappliedstudio.com/"
"Quint and Quint","http://quintandquint.com/"
"R And Co","http://rco-design.com/"
"R/GA","http://www.rga.com/"
"Radical Media","http://www.radicalmedia.com/"
"Ranger","http://rngr.org/"
"Rapp","http://www.rapp.com/"
"Rational Beauty","https://rationalbeauty.com/"
"Razorfish","http://www.razorfish.com/"
"Red Antler","http://redantler.com/"
"Red Peak","http://red-peak.com/"
"Revolver","https://www.revolvernewyork.com/"
"RoAndCo","https://www.roandcostudio.com/"
"Ronik","https://www.ronikdesign.com/"
"Roof","https://roofstudio.tv/"
"RPM","https://hellorpm.com/"
"Saatchi and Saatchi","https://www.wearesaatchi.com/"
"Saint-Lazare","https://www.saint-lazare.com/"
"Saint Urbain","https://www.sainturbain.com/"
"Safari Sundays","https://safarisundays.com/"
"Sapient","https://www.publicissapient.com/"
"Saranko","http://www.sarankco.com/"
"Savvy","http://savvy-studio.net/"
"Scout","http://www.scoutstudios.tv/"
"Seiden","http://www.seidenadvertising.com/"
"Senior Post","http://senior-post.com/"
"Shadow Runner","https://www.shadowrunner.industries/"
"Sid Lee","https://sidlee.com/en/"
"Siegel+Gale","http://www.siegelgale.com/"
"Siplissimus","https://www.simplissimus.co/"
"Situation","http://www.situationinteractive.com/"
"Skaggs Design","https://skaggscreative.com/"
"Small Stuff","https://smallstuff.us/"
"Smakk","https://smakkstudios.com/"
"Smuggler","http://smugglersite.com/"
"Snow Day","https://www.noneother.co/"
"Something Special Studios","https://somethingspecialstudios.com/"
"https://www.space-ny.com/","https://www.space-ny.com/"
"Space 150","http://www.space150.com/"
"Spike DDB","http://www.spikeddb.com/"
"Spring Studios","https://www.springstudios.com/"
"Spil Creative","https://www.spil.us/"
"Spot Co","http://www.spotnyc.com/"
"SS+K","http://www.ssk.com/"
"Squat","https://www.squatny.com/"
"Stag and Hare","http://www.stagandhare.com/"
"Standard Black","https://standardblack.com/"
"Sterling Brands","http://www.sterlingbrands.com/"
"Stiletto Studio","http://www.silhouettestudio.com/"
"Stink","https://www.stinkstudios.com/"
"Stanger And Stranger","http://www.strangerandstranger.com/"
"Studio Freight","https://studiofreight.com/"
"Strawberry Frog","http://www.strawberryfrog.com/"
"Studio Lin","http://studiolin.org/"
"Studio Newwork","http://studionewwork.com/"
"Studio Rodrigo","http://www.studiorodrigo.com/"
"Sullivan NYC","http://www.sullivannyc.com/"
"SY Partners","http://www.sypartners.com/"
"Synoptic Office","https://www.synopticoffice.com/"
"T Brand Studio","https://advertising.nytimes.com/custom-content/"
"Tag Creative","https://www.tagcreativeny.com/"
"Tavern","https://tavern.agency/"
"Taylor James","http://www.taylorjames.com/"
"TBWA","http://www.tbwa.com/"
"Terri And Sandy","https://www.terrisandy.com/"
"Team Studio","https://team.design/"
"Thats Nice","http://www.thatsnice.com/"
"The Barbarian Group","https://wearebarbarian.com/"
"The Gathery","http://www.thegathery.com/"
"The Lab","https://www.thelab.co/"
"The Nation","http://www.wearethenation.com/"
"The Science Project","https://thescienceproject.co/"
"The Seventh Art","https://theseventhart.com/"
"Thinc Design","http://www.thincdesign.com/"
"Tonic Group","http://www.tonicgroup.com/"
"Topos Graphics","http://www.toposgraphics.com/"
"Translation","https://translationllc.com/"
"Transistor Studios","https://spidersandsparrows.com/"
"Triboro Design","http://www.triborodesign.com/"
"Trollback + Company","http://www.trollback.com/"
"True North","http://truenorthinc.com/"
"Tsang Seymour","http://www.tsangseymour.com/"
"Two-N","http://www.two-n.com/"
"Ueno","https://ueno.co/"
"Unified Theory","https://unified-theory.co/"
"United","http://www.uniteddsn.com/"
"Ustwo","https://ustwo.com/"
"Varsity","http://varsity.is/"
"Vault 49","http://www.vault49.com/"
"Version Industries","http://www.versionindustries.com/"
"Violet Office","https://violetoffice.com/"
"Virtue","https://www.virtueworldwide.com/"
"VMG Creative","https://www.vmg-creative.com/"
"VM GROUPE","https://vmgroupe.com/"
"VSA Partners","http://www.vsapartners.com/"
"Watson & Co","http://www.watsonnyc.com/"
"WDDG","http://www.wddg.com/"
"Wieden + Kennedy","http://www.wk.com/"
"Wildes District","https://www.wildesdistrict.com/"
"Why Not Smile","http://whynotsmile.com/"
"Wild Factory","http://thewildfactory.com/"
"Wolff Olins","http://www.wolffolins.com/"
"Wondersauce","http://www.wondersauce.com/"
"Work & Co","http://work.co/"
"WØRKS","https://works.studio/"
"Work Order","http://www.work-order.co/"
"Wkshps","https://www.wkshps.com/"
"WeShouldDoItAll","http://www.wsdia.com/"
"XXIX","https://www.xxix.co/"
"Yard","http://www.yardnyc.com/"
"YOHOHO Studio","https://yohoho.studio/en/"
"Your Majesty","https://yourmajesty.co/"
"Zero","https://zero.nyc/"
"Zut Alors","http://zutalorsinc.com/"
